Learning Rate,Weight Decay,Run,Transfer Epochs,FineTune Epochs,Loss,Acc
0.01,0.075,run_9,27,8,1.3122743368148804,0.5833333134651184
0.01,0.0075,run_0,31,1,1.1147814989089966,0.6399999856948853
0.01,0.0075,run_1,13,3,1.1503912210464478,0.5600000023841858
0.01,0.0075,run_2,32,5,1.081336259841919,0.5833333134651184
0.01,0.0075,run_3,28,3,1.4238619804382324,0.5
0.01,0.0075,run_4,28,7,1.04827082157135,0.6666666865348816
0.01,0.0075,run_5,19,5,1.3753328323364258,0.5416666865348816
0.01,0.0075,run_6,36,3,1.2064329385757446,0.5833333134651184
0.01,0.0075,run_7,30,1,1.179157018661499,0.6666666865348816
0.01,0.0075,run_8,6,4,1.3392366170883179,0.4583333432674408
0.01,0.0075,run_9,11,3,1.1497578620910645,0.5416666865348816
